S1_over_S0,S2_over_S0,S3_over_S0
-1.08309052238055e-15,0,0
-1.81536135079093e-15,0,0
-1.43601691866279e-15,0,0
1.58205861450585e-15,0,0
1.38427618193234e-15,0,0
2.6528124785598e-16,0,0
-1.29789424943208e-15,0,0
-1.82607766424208e-15,0,0
5.12514841296478e-16,0,0
1.32816067780595e-15,0,0
1.31419496403116e-15,0,0
-2.34132349513616e-16,0,0
-1.42875331930255e-15,0,0
-3.51209315820491e-16,0,0
7.26703647070925e-16,0,0
7.59580060103791e-16,0,0
6.27916858306923e-16,0,0
-4.32142350573333e-16,0,0
-7.40636604356669e-16,0,0
-1.50592099067798e-16,0,0
3.68725936876553e-16,0,0
2.02455107762601e-15,0,0
-4.50603469121543e-16,0,0
-9.83614939661273e-16,0,0
-7.22382875897675e-16,0,0
-1.53971464589513e-16,0,0
1.38475784446291e-15,0,0
9.6113356304744e-17,0,0
-3.35853278615415e-16,0,0
-1.03763960004036e-15,0,0
-6.53434492031357e-16,0,0
9.49888648910463e-16,0,0
8.95055237553991e-16,0,0
-1.04208720364511e-16,0,0
-6.44887082480954e-16,0,0
-5.82091822008375e-16,0,0
3.57174590411923e-16,0,0
6.23241307679544e-16,0,0
-9.71310950680024e-17,0,0
2.54198777387334e-17,0,0
-3.01328587510313e-16,0,0
-1.04584809368167e-16,0,0
4.29693416049285e-16,0,0
1.33778785432077e-16,0,0
4.3272171514344e-16,0,0
-9.25854515152414e-16,0,0
2.59377548846488e-17,0,0
3.15202515226138e-15,0,0
-6.49463921400447e-15,0,0
6.40111215497108e-15,0,0
-4.95977829956714e-15,0,0
2.61027776823944e-15,0,0
2.69147569879343e-15,0,0
-5.5469276906321e-15,0,0
6.15946524321639e-15,0,0
-6.25441598000535e-15,0,0
4.16421906151984e-15,0,0
3.55725587403366e-16,0,0
-3.15665617359225e-15,0,0
5.1470117493547e-15,0,0
-6.5480227132895e-15,0,0
5.36450727562261e-15,0,0
-1.56988527367343e-15,0,0
-1.43965916335368e-15,0,0
4.14786537222476e-15,0,0
-5.97347899269689e-15,0,0
5.62367781294242e-15,0,0
-3.71495802137096e-15,0,0
8.94398704618445e-16,0,0
2.45305331686019e-15,0,0
-4.43816296004718e-15,0,0
5.58695773126726e-15,0,0
-5.25926662780431e-15,0,0
2.91080623413727e-15,0,0
5.34587230907172e-16,0,0
-3.07706543958054e-15,0,0
5.10929880553896e-15,0,0
-5.64561899535642e-15,0,0
4.04932124427683e-15,0,0
-1.53977778924623e-15,0,0
-9.21008171827324e-16,0,0
3.86501757163478e-15,0,0
